indice_tiempo,region_de_destino,origen_visitantes,visitas,observaciones
2020-7-01,patagonia,residentes,2282,
2020-7-01,patagonia,total,2282,
2020-8-01,patagonia,no residentes,0,
2020-8-01,patagonia,residentes,2744,
2020-8-01,patagonia,total,2744,
2020-9-01,patagonia,no residentes,0,
2020-9-01,patagonia,residentes,7977,
2020-9-01,patagonia,total,7977,
2021-1-01,patagonia,no residentes,211,
2021-1-01,patagonia,residentes,161922,
2021-1-01,patagonia,total,162133,
2021-10-01,patagonia,no residentes,332,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2021-10-01,patagonia,residentes,127972,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2021-10-01,patagonia,total,128304,Emergencia sanitaria
2021-11-01,patagonia,no residentes,5163,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2021-11-01,patagonia,residentes,138338,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2021-11-01,patagonia,total,143501,Emergencia sanitaria
2021-12-01,patagonia,no residentes,13542,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
2021-12-01,patagonia,residentes,151914,Emergencia sanitaria. El Gobierno Nacional dispuso el aislamiento (o distanciamiento) social preventivo y obligatorio y restricciones a la circulacion de las personas por las fronteras del pais. Los Parques Nacionales se mantuvieron cerrados del 22 al 30 de mayo (DI-2021-95-APN-DNO#APNAC).
2021-12-01,patagonia,total,165456,Emergencia sanitaria
2021-2-01,patagonia,no residentes,189,
2021-2-01,patagonia,residentes,160988,
2021-2-01,patagonia,total,161177,
2021-3-01,patagonia,no residentes,206,
2021-3-01,patagonia,residentes,123075,
2021-3-01,patagonia,total,123281,
2021-4-01,patagonia,no residentes,128,
2021-4-01,patagonia,residentes,60110,
2021-4-01,patagonia,total,60238,
2021-5-01,patagonia,no residentes,28,
2021-5-01,patagonia,residentes,15980,
2021-5-01,patagonia,total,16008,
2021-6-01,patagonia,no residentes,25,
2021-6-01,patagonia,residentes,10537,
2021-6-01,patagonia,total,10562,
2021-7-01,patagonia,no residentes,86,
2021-7-01,patagonia,residentes,55438,
2021-7-01,patagonia,total,55524,
2021-8-01,patagonia,no residentes,92,
2021-8-01,patagonia,residentes,58865,
2021-8-01,patagonia,total,58957,
2021-9-01,patagonia,no residentes,76,
2021-9-01,patagonia,residentes,90067,
2021-9-01,patagonia,total,90143,
2022-1-01,patagonia,no residentes,18658,
2022-1-01,patagonia,residentes,404055,
2022-1-01,patagonia,total,422713,
2022-10-01,patagonia,no residentes,38211,Emergencia sanitaria. Los Parques Nacionales se mantuvieron cerrados.
